Anno,Nil,eastas M,eastas F,noraf M,noraf F,ssaf M,ssaf F,seas M,seas F,ita M,ita F,southas M,southas F,soam M,soam F,eu15 M,eu15 F,westas M,westas F,noram M,noram F,eun13 M,eun13 F,otheu M,otheu F,ocean M,ocean F,other M,other F
1999,Duomo,38,33,68,34,48,93,100,209,8654,8948,112,86,67,193,336,327,68,56,73,74,17,39,66,68,3,2,4,1
1999,Brera,51,54,66,28,77,104,78,173,8179,9344,89,58,73,170,319,341,24,14,85,78,18,23,82,84,3,5,2,1
1999,Giardini Porta Venezia,0,0,0,0,0,2,2,4,17,15,2,1,1,0,4,4,0,0,1,0,0,0,0,0,0,0,0,0
1999,Guastalla,39,34,66,37,48,93,101,197,6835,7926,110,75,68,185,176,245,61,47,41,44,22,29,80,92,3,0,1,1
1999,Vigentina,30,31,134,40,36,39,45,100,6084,7236,64,39,36,89,92,135,20,12,32,32,12,15,38,32,3,3,1,0
1999,Ticinese,113,94,328,88,60,36,184,233,9513,10786,112,50,103,186,147,185,37,21,25,29,19,21,64,33,1,1,1,1
1999,Magenta - S. Vittore,30,30,23,15,26,60,84,177,7887,9280,93,76,58,140,262,288,40,29,33,50,14,27,53,50,0,4,0,0
1999,Parco Sempione,0,0,0,0,0,0,0,0,5,6,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
1999,Garibaldi Repubblica,72,66,82,19,18,24,25,35,2677,2797,48,15,28,55,57,49,6,2,19,13,12,15,18,12,0,0,1,0
1999,Centrale,172,152,172,57,72,71,205,254,7273,7886,167,56,106,198,194,160,53,31,43,53,24,33,148,126,2,4,1,0
1999,Isola,153,145,443,92,110,72,210,297,9218,10398,155,64,137,189,110,118,30,21,17,23,15,23,65,56,1,0,0,0
1999,Maciachini - Maggiolina,132,121,125,51,43,47,192,300,11254,12982,63,46,129,186,162,189,21,12,27,28,24,40,86,82,1,2,0,0
1999,Greco,109,102,107,30,54,29,86,112,5960,6755,29,23,67,103,38,43,15,3,7,5,25,29,34,23,1,0,0,0
1999,Niguarda - Cà Granda,47,41,200,114,64,68,20,42,16391,18783,43,39,64,98,44,58,12,2,9,5,21,26,32,19,0,0,1,0
1999,Bicocca,9,12,52,31,23,16,5,5,2417,2522,3,1,17,31,12,14,9,2,0,1,2,5,4,6,0,0,0,0
1999,Vle Monza,159,160,172,67,76,38,107,139,11124,11811,48,29,101,160,63,92,17,8,7,11,28,25,43,38,0,1,0,0
1999,Adriano,61,65,59,15,38,22,26,37,4546,4704,21,6,22,50,20,21,8,6,2,2,16,26,25,14,0,1,0,0
1999,Parco Lambro - Cimiano,51,45,117,51,16,21,133,182,9315,10649,20,19,78,113,64,109,28,11,8,11,18,19,33,21,1,0,0,0
1999,Padova,157,145,410,105,111,73,236,342,14367,16188,168,90,210,364,116,134,43,28,10,6,56,38,77,49,1,4,0,0
1999,Loreto,374,355,999,267,264,143,458,605,15805,17989,262,119,309,505,230,239,67,34,23,16,95,90,152,126,2,3,1,0
1999,Buenos Aires - Venezia,257,243,604,192,171,196,485,666,27353,31426,424,129,274,499,540,553,172,102,113,99,111,119,232,190,7,5,4,5
1999,Città Studi,165,148,374,105,142,156,244,339,16277,19782,98,61,222,353,363,323,123,72,56,26,61,50,77,84,0,2,0,1
1999,Lambrate,58,48,226,28,67,42,80,110,2932,3226,43,18,41,49,43,31,20,11,6,3,4,7,23,7,1,0,0,0
1999,Parco Forlanini - Ortica,3,1,158,8,5,1,5,4,407,313,3,2,3,7,1,5,2,0,1,1,0,0,3,2,0,0,0,0
1999,Corsica,68,64,125,26,42,26,108,163,7864,9575,33,16,80,149,125,137,45,31,18,21,25,23,68,47,1,2,0,0
1999,XXII Marzo,99,88,189,69,97,103,190,246,14325,16879,73,36,102,214,240,288,63,41,47,44,25,59,75,84,3,4,1,1
1999,Porta Romana,59,73,251,64,35,43,146,228,7571,8669,87,42,72,116,100,142,25,13,17,19,20,37,47,38,0,0,0,0
1999,Umbria - Molise,57,92,475,218,91,169,231,265,9388,11402,66,39,110,209,67,90,40,34,12,10,12,16,42,33,2,1,0,0
1999,Ortomercato,3,3,61,22,25,21,39,57,1597,1878,11,8,5,24,8,7,1,0,0,0,11,8,8,5,0,0,0,0
1999,Mecenate,18,13,170,59,41,26,41,62,8350,9700,26,12,60,85,38,38,21,8,5,7,29,24,13,18,0,0,0,0
1999,Parco Monlué - Ponte Lambro,3,2,125,68,61,13,13,18,2103,1949,17,14,19,27,5,8,1,0,0,0,11,9,7,4,0,0,0,0
1999,Triulzo Superiore,0,1,147,20,25,24,6,4,388,394,28,20,10,17,5,4,2,3,0,0,5,5,7,5,0,1,0,0
1999,Rogoredo,0,2,59,14,28,44,11,13,2061,2155,18,11,17,22,5,10,9,6,2,0,5,1,11,8,0,2,0,0
1999,Chiaravalle,0,0,13,6,1,6,0,0,566,587,1,1,0,6,2,1,0,0,0,0,0,0,0,1,0,0,0,0
1999,Lodi - Corvetto,71,71,607,287,113,173,200,290,15121,17538,143,79,153,257,74,111,39,22,14,7,27,42,67,54,0,0,0,0
1999,Scalo Romana,28,38,525,75,48,43,93,144,4511,4499,120,38,52,94,24,32,9,5,4,3,12,10,52,14,0,0,0,0
1999,Ex OM - Morivione,15,15,76,23,9,10,22,30,2392,3050,31,18,20,42,9,14,6,1,0,1,2,8,7,1,0,0,0,0
1999,Ripamonti,32,27,71,14,15,15,35,77,6090,6525,38,16,34,43,30,37,2,0,8,8,6,16,25,21,0,0,0,0
1999,Quintosole,0,0,7,0,0,1,1,0,488,168,2,0,2,1,0,1,1,0,0,0,0,0,0,1,0,0,0,0
1999,Ronchetto delle Rane,0,1,0,0,0,0,0,0,122,134,0,0,0,0,0,0,0,0,0,1,0,1,0,1,0,0,0,0
1999,Gratosoglio - Ticinello,13,16,115,76,27,42,0,7,9069,9594,16,13,8,32,8,23,3,2,1,0,4,8,6,6,0,0,0,0
1999,Stadera,24,21,362,162,80,41,163,217,11455,12987,88,40,113,159,54,71,21,18,9,11,13,27,56,36,2,0,0,0
1999,Tibaldi,35,38,222,113,52,33,103,126,5451,6195,41,23,58,76,32,69,10,3,6,8,6,3,17,17,2,3,0,0
1999,Navigli,38,36,187,73,65,59,149,191,7197,8292,79,49,85,115,113,158,12,9,15,15,19,21,34,40,3,3,0,0
1999,S. Cristoforo,15,11,180,61,30,37,69,89,5510,6077,31,13,41,77,36,48,3,2,7,3,9,15,36,28,0,0,0,0
1999,Barona,0,0,152,90,22,26,6,8,9254,9890,2,8,12,35,12,26,3,1,3,1,5,7,4,8,0,0,0,0
1999,Cantalupa,3,5,2,1,3,3,1,1,172,170,0,0,1,1,2,1,3,6,1,0,0,0,0,0,0,0,0,0
1999,Ronchetto S/N,18,22,78,35,44,25,16,22,7389,7657,13,10,53,78,26,38,9,4,5,8,7,16,29,28,0,0,0,0
1999,Giambellino,73,65,490,190,94,126,181,249,12245,14676,70,52,142,261,78,82,45,33,5,3,33,46,46,45,5,4,1,0
1999,Tortona,48,47,120,53,23,24,69,100,7039,8289,51,41,48,88,95,113,29,22,12,17,11,15,45,53,2,3,0,0
1999,Washington,100,105,83,38,23,33,111,184,11693,14153,52,57,75,176,265,279,53,55,43,56,17,30,90,102,3,5,2,0
1999,Bande Nere,269,253,342,101,102,60,230,358,20112,23838,106,65,138,265,202,239,278,281,38,33,33,47,81,59,3,2,0,0
1999,Lorenteggio,49,45,68,38,16,16,35,54,6030,6915,23,19,26,44,27,34,13,16,3,4,1,6,15,14,2,0,0,0
1999,Muggiano,0,0,11,3,0,0,0,0,680,698,4,5,0,2,0,5,0,0,0,0,1,1,0,0,0,0,0,0
1999,Baggio,42,36,192,77,58,32,62,92,13832,14998,74,43,92,144,22,45,24,15,11,2,10,21,29,24,0,0,0,0
1999,Forze Armate,48,48,201,112,71,68,75,107,11577,12555,38,26,63,118,33,51,22,24,8,4,17,27,41,46,0,0,1,0
1999,Selinunte,113,106,644,294,168,208,187,264,9948,12427,83,47,100,187,122,148,49,39,17,21,36,43,46,47,0,0,1,0
1999,De Angeli - Monte Rosa,100,101,101,35,47,64,86,141,9253,11075,96,73,74,155,244,284,36,29,28,26,22,31,74,66,2,0,0,0
1999,Tre Torri,2,4,0,0,3,4,9,15,632,714,5,6,5,9,28,37,1,3,2,2,2,5,2,6,0,0,0,0
1999,S. Siro,75,82,43,17,26,25,43,69,5169,5577,12,8,34,56,416,347,18,20,26,30,13,7,28,21,0,0,0,0
1999,Quarto Cagnino,17,16,48,25,8,15,28,38,4593,4699,11,5,10,26,8,13,0,1,2,1,2,3,3,7,0,0,0,0
1999,Quinto Romano,5,4,40,12,4,6,1,3,2388,2553,16,6,14,16,6,7,0,0,0,0,1,2,4,5,0,0,0,0
1999,Figino,3,2,10,8,1,0,3,4,779,838,2,3,1,7,0,1,2,0,0,1,3,2,2,2,0,0,0,0
1999,Trenno,2,1,22,1,5,8,5,4,2248,2355,1,1,7,5,5,4,7,2,0,1,0,1,0,1,0,1,0,0
1999,Gallaratese,41,27,96,41,30,49,25,49,17151,18377,24,9,53,77,55,60,30,14,15,8,26,22,47,22,2,3,0,0
1999,QT 8,6,9,7,8,3,9,5,9,1842,2235,15,14,7,17,34,24,1,3,0,1,1,2,9,10,0,0,0,0
1999,Portello,24,27,37,11,15,22,22,40,3522,4109,57,27,32,49,71,71,7,5,11,13,9,12,19,23,0,0,0,0
1999,Pagano,66,53,30,18,35,69,95,213,7505,8482,62,47,51,117,209,261,18,32,61,38,12,23,60,56,1,3,1,0
1999,Sarpi,627,538,262,81,122,86,140,219,12545,14602,116,55,113,223,261,299,28,18,37,40,26,37,70,68,5,2,2,2
1999,Ghisolfa,157,134,110,37,46,43,113,148,7119,8402,61,32,64,121,93,115,16,12,11,11,16,19,24,25,0,0,0,0
1999,Villapizzone,162,170,451,139,203,127,206,285,14930,17532,103,74,181,282,94,102,68,30,19,10,44,48,72,52,3,0,0,0
1999,Maggiore - Musocco,6,11,28,8,29,13,9,7,2054,2254,0,3,5,12,8,12,4,0,0,1,3,7,7,6,0,1,0,0
1999,Cascina Triulza - Expo,0,0,0,0,0,0,0,0,9,7,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
1999,Sacco,0,0,1,0,0,0,0,0,126,122,0,0,0,3,0,1,0,0,0,0,0,1,1,0,0,0,0,0
1999,Stephenson,0,0,0,0,0,0,0,0,35,31,1,0,0,0,0,0,2,0,0,0,0,0,3,3,0,0,0,0
1999,Quarto Oggiaro,48,38,363,217,94,81,18,35,13353,14775,77,51,64,113,24,36,30,16,2,2,23,22,24,17,0,2,1,0
1999,Bovisa,122,123,241,76,82,27,86,121,4763,5318,47,19,43,71,31,27,32,13,3,2,21,16,35,31,0,0,0,0
1999,Farini,31,32,122,21,24,38,18,26,1255,1271,8,4,22,29,13,12,6,6,2,2,3,8,11,8,0,0,0,0
1999,Dergano,135,120,324,81,74,65,80,127,7505,8250,126,71,94,150,29,40,30,3,7,2,20,19,47,24,0,3,0,0
1999,Affori,137,133,227,71,75,54,76,101,8666,9424,48,35,82,130,21,49,35,17,8,6,21,15,43,28,0,0,0,0
1999,Bovisasca,19,18,75,16,15,5,5,6,3594,3762,15,3,14,26,2,1,5,3,0,0,6,6,10,12,0,0,1,0
1999,Comasina,20,19,64,23,23,14,3,5,3709,4257,12,11,17,38,12,18,11,7,1,0,6,6,19,10,0,0,0,0
1999,Bruzzano,20,20,82,26,26,28,7,17,5506,5796,33,20,26,42,29,25,10,3,2,1,3,5,13,16,2,0,0,0
1999,Parco Nord,14,17,0,0,3,4,0,0,60,57,0,0,0,0,0,0,0,0,0,0,0,0,1,0,0,0,0,0
1999,Parco delle Abbazie,0,0,13,5,1,0,0,0,113,114,0,0,0,2,0,0,0,0,0,0,6,1,4,2,0,0,0,0
1999,Parco dei Navigli,0,0,2,0,5,3,0,0,164,115,0,0,3,2,0,0,0,0,0,0,6,2,8,1,0,0,0,0
1999,Parco Agricolo Sud,0,0,0,0,3,2,0,0,104,99,0,0,0,1,0,0,0,0,0,0,7,6,32,19,0,0,0,0
1999,Parco Bosco in Città,0,0,85,0,15,0,0,0,121,128,2,0,0,2,0,0,2,0,0,0,0,0,3,1,0,0,0,0
2000,Duomo,45,36,73,36,52,96,104,226,8459,8853,128,105,73,208,338,323,67,54,76,78,16,43,69,66,4,1,4,1
2000,Brera,51,55,71,25,72,91,100,195,8085,9252,89,66,67,186,329,348,23,12,86,79,22,21,92,95,3,7,2,1
2000,Giardini Porta Venezia,0,0,0,0,0,2,2,4,18,18,2,1,1,0,4,2,0,0,0,0,0,0,0,0,0,0,0,0
2000,Guastalla,37,30,63,32,49,92,111,216,6728,7795,126,88,74,201,174,242,61,46,35,33,23,32,77,90,2,0,1,1
2000,Vigentina,36,34,156,38,39,43,56,110,6101,7137,79,43,50,115,91,139,17,12,30,32,18,22,44,41,4,2,1,0
2000,Ticinese,119,108,337,86,71,37,203,254,9360,10559,121,50,110,202,159,203,34,19,27,28,27,18,76,45,2,1,1,1
2000,Magenta - S. Vittore,29,34,25,19,29,69,82,188,7907,9192,105,97,73,154,297,312,37,30,33,50,14,31,56,52,2,4,0,0
2000,Parco Sempione,0,0,0,0,0,0,0,0,3,3,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
2000,Garibaldi Repubblica,96,73,83,18,17,22,24,35,2645,2775,61,23,32,65,60,52,6,2,20,13,10,19,19,13,0,0,1,0
2000,Centrale,178,162,186,59,65,79,230,294,7169,7813,225,59,132,216,193,167,52,30,44,53,28,39,149,124,2,4,1,0
2000,Isola,176,168,522,99,121,77,208,316,9078,10200,202,83,168,228,112,127,30,22,18,22,25,30,71,62,0,0,0,0
2000,Maciachini - Maggiolina,148,137,156,66,36,48,226,305,11175,12805,62,43,168,232,164,191,19,12,29,30,30,51,89,91,1,2,0,0
2000,Greco,115,100,127,34,67,28,100,116,5820,6632,28,20,95,147,39,40,16,4,7,6,32,36,31,27,1,0,0,0
2000,Niguarda - Cà Granda,59,40,223,117,74,79,26,49,16231,18622,59,54,78,123,49,55,14,3,10,8,25,30,34,27,0,0,1,0
2000,Bicocca,13,20,65,36,33,17,6,7,2502,2602,5,4,23,36,14,14,11,2,0,1,4,6,6,10,0,0,0,0
2000,Vle Monza,179,171,194,80,124,43,142,177,11030,11753,54,26,134,212,65,96,18,11,6,10,40,34,50,44,1,1,0,0
2000,Adriano,71,68,64,18,44,24,32,45,4767,4897,28,15,30,52,21,23,9,7,2,1,15,28,28,17,0,1,0,0
2000,Parco Lambro - Cimiano,55,54,132,55,21,22,152,192,9186,10569,28,22,100,143,64,112,29,14,8,12,24,21,36,21,1,0,0,0
2000,Padova,182,173,456,123,125,83,303,424,14091,15872,207,109,236,435,123,141,45,28,11,6,72,44,88,76,1,4,1,0
2000,Loreto,413,391,1150,272,318,147,561,708,15518,17619,320,145,389,630,240,241,77,38,26,18,118,110,196,164,3,3,1,0
2000,Buenos Aires - Venezia,282,255,652,195,184,222,515,712,27172,31134,492,154,295,560,565,588,171,108,118,102,132,152,252,225,9,9,4,5
2000,Città Studi,186,156,402,123,137,158,269,374,16135,19532,110,68,268,401,369,336,120,73,54,26,71,64,97,99,0,2,0,0
2000,Lambrate,70,61,157,25,72,47,92,122,2897,3184,48,26,50,69,44,32,16,11,7,4,5,10,22,9,1,0,0,0
2000,Parco Forlanini - Ortica,2,1,151,8,4,1,3,3,393,313,3,2,5,8,1,6,2,0,1,1,0,0,3,2,0,0,0,0
2000,Corsica,70,71,144,34,49,31,126,180,7791,9434,43,18,88,173,132,147,47,32,20,20,30,32,75,46,1,3,0,0
2000,XXII Marzo,112,98,231,85,90,117,213,288,14151,16758,81,41,117,238,247,301,67,42,48,43,40,67,76,88,3,5,1,1
2000,Porta Romana,56,81,246,61,49,49,142,243,7459,8501,101,43,82,131,104,152,22,13,19,20,30,42,53,51,0,0,0,0
2000,Umbria - Molise,61,89,533,229,109,179,251,295,9329,11186,84,45,127,223,77,89,48,36,17,12,21,23,47,38,2,1,0,0
2000,Ortomercato,3,3,74,30,28,30,42,69,1576,1866,12,7,9,25,11,7,1,0,0,0,14,6,9,7,0,0,0,0
2000,Mecenate,18,16,174,64,40,27,44,72,8199,9586,29,16,70,108,36,34,20,10,5,6,27,23,12,18,0,1,0,0
2000,Parco Monlué - Ponte Lambro,3,2,152,82,73,16,13,20,2038,1936,18,14,30,40,5,8,2,3,1,1,12,10,11,6,0,0,0,0
2000,Triulzo Superiore,0,1,141,20,29,21,6,4,372,379,33,16,10,19,4,3,2,2,0,0,15,8,7,5,0,1,0,0
2000,Rogoredo,1,2,66,21,25,44,11,12,2537,2609,22,16,22,32,8,12,7,7,2,0,9,6,14,12,0,2,0,0
2000,Chiaravalle,0,0,17,8,1,5,0,0,573,574,2,1,0,5,2,1,0,0,0,0,0,0,0,1,0,0,0,0
2000,Lodi - Corvetto,80,91,660,288,129,182,227,311,14861,17247,160,90,174,314,79,115,37,22,13,7,42,54,98,74,0,1,0,0
2000,Scalo Romana,32,38,573,79,60,49,128,193,4363,4355,126,52,80,121,23,34,9,5,4,3,17,24,57,19,0,0,0,0
2000,Ex OM - Morivione,19,21,88,28,9,12,31,39,2373,3016,35,15,29,43,11,13,6,1,0,1,4,8,7,3,0,0,0,0
2000,Ripamonti,34,30,78,19,15,19,34,80,6104,6522,55,22,45,56,29,43,3,0,8,4,10,22,32,28,0,0,0,0
2000,Quintosole,0,0,10,0,0,1,1,0,488,166,4,2,3,0,0,1,1,0,0,0,0,0,3,3,0,0,0,0
2000,Ronchetto delle Rane,0,1,0,0,0,0,0,0,117,134,1,0,0,0,0,0,0,0,0,1,0,1,0,0,0,0,0,0
2000,Gratosoglio - Ticinello,13,17,136,109,35,51,3,9,9206,9727,20,13,15,36,8,23,2,2,1,0,10,12,11,10,0,0,0,0
2000,Stadera,27,27,376,166,102,58,197,237,11342,12824,113,44,143,211,57,77,23,18,8,12,21,38,61,45,2,0,0,0
2000,Tibaldi,48,53,258,115,60,42,115,146,5309,6073,54,30,60,107,31,66,13,3,7,7,9,8,24,23,2,2,0,0
2000,Navigli,45,43,209,71,59,53,163,224,7089,8164,84,47,96,144,116,159,11,9,17,20,23,32,39,47,3,3,0,0
2000,S. Cristoforo,20,15,187,71,29,38,70,93,5448,5983,46,16,65,97,38,48,3,3,6,4,14,19,45,34,0,1,0,0
2000,Barona,0,0,162,109,22,25,5,10,9045,9703,13,15,15,44,12,26,3,1,2,1,7,7,5,10,0,0,0,0
2000,Cantalupa,4,5,2,1,3,4,1,2,180,175,0,0,1,1,2,1,3,4,1,0,0,0,0,0,0,0,0,0
2000,Ronchetto S/N,20,29,89,37,47,22,17,31,7273,7616,24,15,58,86,27,37,9,4,5,7,17,19,29,26,0,0,0,0
2000,Giambellino,83,77,556,208,112,148,199,312,12172,14610,98,64,182,317,78,84,45,31,5,5,41,49,66,60,3,3,1,0
2000,Tortona,57,53,124,47,27,30,73,103,6978,8226,59,45,51,105,103,123,29,20,14,18,14,19,45,57,2,3,0,0
2000,Washington,105,122,89,38,24,34,112,198,11558,13993,60,62,86,215,264,278,49,49,39,53,18,34,91,104,3,5,2,0
2000,Bande Nere,275,252,403,107,109,58,270,395,19791,23480,120,71,171,323,204,243,269,266,37,37,50,66,73,67,3,2,0,0
2000,Lorenteggio,46,45,84,54,16,17,38,53,6036,6941,30,23,22,49,28,34,14,17,3,4,5,9,19,19,2,0,0,0
2000,Muggiano,0,0,15,5,4,2,0,0,687,730,5,5,0,1,0,5,0,0,0,0,1,1,0,1,0,0,0,0
2000,Baggio,43,44,233,95,71,38,91,114,13769,14953,76,47,110,182,23,53,18,16,10,5,16,21,34,27,0,0,0,0
2000,Forze Armate,45,44,191,109,90,77,97,129,11332,12354,38,33,87,142,32,54,20,20,7,4,20,32,48,47,0,0,1,0
2000,Selinunte,116,105,770,339,214,232,229,308,9822,12284,98,56,120,220,125,150,50,40,17,22,49,56,62,52,0,0,1,0
2000,De Angeli - Monte Rosa,101,106,104,33,53,67,93,146,9176,10942,93,72,93,189,258,286,36,30,32,24,27,39,81,76,2,0,0,0
2000,Tre Torri,4,5,0,0,3,6,7,14,635,723,4,5,4,12,27,37,1,3,2,2,1,2,2,6,0,0,0,0
2000,S. Siro,77,71,44,18,26,28,51,84,5173,5551,12,9,46,66,440,374,18,19,29,30,16,11,26,27,0,0,0,0
2000,Quarto Cagnino,19,22,55,29,7,14,29,42,4534,4658,18,11,14,28,9,15,0,0,0,0,2,5,4,6,0,0,0,0
2000,Quinto Romano,5,4,44,10,5,7,2,8,2477,2623,14,6,15,22,6,10,1,0,0,0,8,4,6,8,0,0,0,0
2000,Figino,3,2,15,8,0,1,3,4,775,842,1,2,1,6,0,1,2,0,0,1,3,1,3,3,0,0,0,0
2000,Trenno,2,1,18,1,5,8,4,4,2232,2317,0,0,7,7,5,4,5,2,0,1,0,1,3,2,0,1,0,0
2000,Gallaratese,44,36,96,44,35,56,25,53,16889,18190,23,10,61,106,61,66,32,16,15,8,30,24,49,23,2,3,0,0
2000,QT 8,8,10,11,11,4,10,7,12,1800,2203,13,13,9,22,34,24,1,3,0,1,1,1,9,10,0,0,0,0
2000,Portello,25,24,39,12,15,21,25,36,3507,4070,60,43,35,58,77,67,7,3,9,14,11,13,17,16,0,0,0,0
2000,Pagano,63,55,32,16,38,67,115,227,7449,8481,75,56,62,144,205,269,17,34,61,37,13,26,58,58,1,4,0,0
2000,Sarpi,711,604,263,79,140,96,160,246,12398,14417,128,67,133,271,257,314,25,17,40,40,30,50,81,76,6,2,2,1
2000,Ghisolfa,188,159,135,33,53,44,127,170,7056,8339,88,33,83,141,100,128,20,16,9,12,19,21,30,34,0,0,0,0
2000,Villapizzone,193,196,501,155,222,130,236,323,14676,17233,139,106,226,359,95,104,53,17,18,12,50,59,87,71,2,0,0,0
2000,Maggiore - Musocco,6,15,26,11,30,14,8,10,2014,2209,2,0,15,23,9,12,4,0,0,1,3,6,7,7,0,1,0,0
2000,Cascina Triulza - Expo,0,0,0,0,0,0,0,0,9,8,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
2000,Sacco,0,0,1,0,0,0,0,0,129,123,0,0,3,6,0,1,0,0,0,0,2,0,1,0,0,0,0,0
2000,Stephenson,0,0,0,0,0,0,0,0,31,29,1,0,0,0,0,0,2,0,0,0,0,0,4,3,0,0,0,0
2000,Quarto Oggiaro,64,56,418,261,127,102,32,54,13350,14772,98,65,93,144,25,38,49,23,4,2,28,26,34,27,0,2,1,0
2000,Bovisa,144,135,278,80,88,33,93,132,4733,5247,69,29,52,95,31,27,35,12,4,2,28,20,54,32,0,0,0,0
2000,Farini,35,36,136,27,31,37,26,43,1259,1286,19,4,29,36,14,13,5,5,2,2,5,7,12,10,0,0,0,0
2000,Dergano,163,141,389,80,95,85,112,162,7480,8147,180,82,126,181,30,40,32,8,6,3,33,31,54,30,0,3,0,0
2000,Affori,179,167,272,73,90,60,88,123,8574,9310,62,51,109,166,24,46,37,18,7,6,30,22,57,40,0,0,0,0
2000,Bovisasca,26,27,84,22,20,6,2,4,3531,3720,12,2,20,36,2,4,4,2,0,0,6,8,11,12,0,0,0,0
2000,Comasina,22,22,68,18,25,16,4,10,3725,4242,24,13,26,51,13,19,19,10,1,0,11,10,18,12,0,0,0,0
2000,Bruzzano,21,20,102,39,25,29,17,22,5451,5732,51,30,36,70,29,25,11,3,2,1,7,4,25,21,2,0,0,0
2000,Parco Nord,20,19,0,0,3,4,0,0,56,55,0,0,0,0,0,0,0,0,0,0,0,0,1,0,0,0,0,0
2000,Parco delle Abbazie,0,0,11,5,1,0,0,0,107,106,1,0,0,2,0,0,0,0,0,0,7,4,10,3,0,0,0,0
2000,Parco dei Navigli,0,0,5,0,5,3,0,0,158,120,0,0,3,2,0,0,0,0,0,0,8,3,8,7,0,0,0,0
2000,Parco Agricolo Sud,0,0,0,0,4,2,0,0,101,94,0,0,0,2,0,0,0,0,0,0,7,6,37,21,0,0,0,0
2000,Parco Bosco in Città,0,0,73,1,15,0,0,0,123,130,4,0,1,0,0,0,2,0,0,0,0,0,6,1,0,0,0,0
2001,Duomo,50,45,73,39,54,107,109,252,8509,8825,135,112,73,229,353,345,67,55,83,84,14,45,71,74,4,1,4,1
2001,Brera,47,57,80,31,71,101,116,226,7983,9202,101,81,69,195,350,373,24,13,89,86,23,35,92,106,5,7,2,1
2001,Giardini Porta Venezia,0,0,0,0,0,2,2,3,18,18,2,1,1,0,5,4,0,0,0,0,0,0,0,0,0,0,0,0
2001,Guastalla,42,37,76,33,46,94,119,233,6700,7729,145,114,75,201,199,275,61,51,40,34,24,35,87,100,2,1,1,1
2001,Vigentina,53,42,181,40,40,48,56,114,6054,7141,94,64,56,122,97,147,19,13,30,36,16,26,48,49,4,3,1,0
